"DAT_OCR";"NUM_PLACA";"NUM_VELOCIDADE";"COD_LATITUDE";"COD_LONGITUDE";"LOCEQUIP"
23/07/23;"KPX9741";22;"-23.0054610000";"-43.4311080000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 11899 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"KXK7940";28;"-22.9729910000";"-43.3854900000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 1 PISTA LATERAL"
23/07/23;"LYX7261";18;"-22.9639970000";"-43.3941650000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 4700 - SENTIDO CURICICA - FX 1 PISTA LATERAL"
23/07/23;"QWY7344";60;"-23.0156490000";"-43.4708920000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 16401 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"RKG1E07";25;"-22.9729910000";"-43.3854900000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 2 PISTA LATERAL"
23/07/23;"IKG3544";54;"-23.0156490000";"-43.4708920000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 16401 - SENTIDO SAO CONRADO - FX 3 PISTA CENTRAL"
23/07/23;"EWO3032";59;"-22.9677060000";"-43.3977170000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 971 - SENTIDO CURICICA - FX 1 PISTA CENTRAL FAIXA EXCLUSIVA BRT"
23/07/23;"RKR6484";20;"-22.8870130000";"-43.3449610000";"RUA CANDIDO BENICIO PROXIMO AO Nº 464 - SENTIDO BARRA - FX 2"
23/07/23;"KYZ9178";33;"-22.9019070000";"-43.3553340000";"RUA CANDIDO BENICIO PROXIMO AO Nº 2426 - SENTIDO BARRA - FX 2"
23/07/23;"RII1B43";22;"-22.9635870000";"-43.3941590000";"AVENIDA SALVADOR ALLENDE PROXIMO AO N° 4755 - SENTIDO PRAIA - FX 2 PISTA CENTRAL"
23/07/23;"LUO3607";53;"-22.9006630000";"-43.3821490000";"ESTRADA DO CATONHO PROXIMO AO Nº 916 - SENTIDO JARDIM SULACAP - FX 2"
23/07/23;"KVE5C97";70;"-22.8438540000";"-43.2501470000";"AVENIDA BRASIL PROXIMO A RUA JUBAL LIMA - SENTIDO SANTA CRUZ - FX 2 PISTA CENTRAL"
